AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,version
1,1,1,0,51,6,31,4,213,42,23,1357,555,1331,909,545,20,80,445,951,1177,14,223,714,28559,5327,727,22293,3387,411,74,2899,17440,622,16731,2707,6,35,2666,2038,0,8987,3365,115,3250,5675,475,5200,1933,1920,2166,1467,16,16,7,3,5,0.16,1942,1929,2176,1472,v1.0.0
1,1,1,0,53,6,33,4,213,42,23,1359,559,1331,912,547,20,81,446,954,1180,14,224,716,29734,5350,727,23445,3400,412,74,2911,18567,622,17858,2720,6,35,2679,2101,0,9037,3376,115,3261,5714,475,5239,1947,1934,2186,1473,16,16,7,3,5,0.15,1955,1942,2195,1478,v1.0.11
1,1,1,0,53,6,33,4,213,43,26,1359,559,1331,920,551,20,81,450,963,1195,14,226,723,29736,5350,727,23447,3400,412,74,2911,18569,622,17860,2720,6,35,2679,2122,0,9038,3376,115,3261,5715,475,5240,1967,1954,2207,1489,16,16,7,3,5,0.15,1956,1943,2196,1478,v1.0.12
1,1,1,0,53,6,33,4,213,42,23,1359,559,1331,910,547,20,81,446,952,1178,14,224,714,29737,5350,727,23448,3400,412,74,2911,18570,622,17861,2720,6,35,2679,2101,0,9039,3377,115,3262,5715,475,5240,1946,1933,2185,1471,16,16,7,3,5,0.15,1956,1943,2196,1478,v1.0.13
1,1,1,0,53,6,33,4,213,42,23,1359,559,1331,910,547,20,81,446,952,1178,14,224,714,29742,5353,727,23450,3400,412,74,2911,18572,622,17863,2720,6,35,2679,2101,0,9039,3377,115,3262,5715,475,5240,1947,1934,2186,1472,16,16,7,3,5,0.15,1957,1944,2197,1479,v1.0.14
1,1,1,0,53,6,33,4,214,42,23,1363,560,1335,912,547,20,81,446,954,1180,14,224,716,29765,5353,727,23473,3403,412,74,2914,18592,622,17883,2720,6,35,2679,2105,0,9049,3383,115,3268,5719,475,5244,1951,1938,2190,1476,16,16,7,3,5,0.15,1961,1948,2201,1483,v1.0.15
1,1,1,0,53,6,33,4,214,42,23,1363,560,1335,912,547,20,81,446,954,1180,14,224,716,29765,5353,727,23473,3403,412,74,2914,18592,622,17883,2720,6,35,2679,2105,0,9049,3383,115,3268,5719,475,5244,1951,1938,2190,1476,16,16,7,3,5,0.15,1961,1948,2201,1483,v1.0.16
1,1,1,0,53,6,33,4,214,43,23,1372,560,1344,918,547,20,81,446,961,1189,15,224,722,29985,5425,736,23612,3433,419,75,2936,18700,630,17983,2738,6,36,2696,2120,0,9102,3394,116,3278,5762,478,5284,1967,1954,2206,1487,16,16,7,3,5,0.15,1977,1964,2217,1494,v1.0.17
1,1,1,0,53,6,33,4,214,44,26,1374,561,1346,930,551,20,81,450,974,1208,15,226,733,30051,5457,736,23646,3437,419,75,2940,18728,630,18011,2740,6,36,2698,2153,0,9113,3396,116,3280,5771,478,5293,1993,1980,2234,1508,16,16,7,3,5,0.15,1982,1969,2223,1497,v1.0.18
1,1,1,0,53,6,33,4,214,43,23,1374,561,1346,920,547,20,81,446,963,1191,15,224,724,30050,5457,736,23645,3437,419,75,2940,18727,630,18010,2740,6,36,2698,2132,0,9112,3396,116,3280,5770,478,5292,1972,1959,2212,1490,16,16,7,3,5,0.15,1982,1969,2223,1497,v1.0.19
1,1,1,0,51,6,31,4,213,42,23,1357,555,1331,909,545,20,80,445,951,1177,14,223,714,28559,5327,727,22293,3387,411,74,2899,17440,622,16731,2707,6,35,2666,2038,0,8987,3365,115,3250,5675,475,5200,1933,1920,2166,1467,16,16,7,3,5,0.16,1942,1929,2176,1472,v1.0.2
1,1,1,0,53,6,33,4,214,43,23,1374,561,1346,920,547,20,81,446,963,1191,15,224,724,30050,5457,736,23645,3437,419,75,2940,18727,630,18010,2740,6,36,2698,2132,0,9113,3397,116,3281,5770,478,5292,1972,1959,2212,1490,16,16,7,3,5,0.15,1982,1969,2223,1497,v1.0.20
1,1,1,0,53,6,33,4,214,43,23,1381,562,1353,926,549,20,81,448,969,1197,15,230,724,30162,5457,736,23757,3452,419,75,2955,18793,630,18076,2772,6,36,2730,2141,0,9144,3411,116,3295,5787,478,5309,1983,1970,2223,1499,16,16,7,3,5,0.15,1993,1980,2234,1506,v1.0.21
1,1,1,0,52,6,32,4,216,43,23,1388,582,1358,930,559,20,81,458,973,1201,15,230,728,30603,5780,742,23875,3498,450,75,2970,18902,636,18179,2772,6,36,2730,2149,0,9184,3436,116,3320,5802,480,5322,1991,1978,2231,1506,16,16,7,3,5,0.15,2001,1988,2242,1513,v1.0.22
1,1,1,0,51,6,31,4,213,42,23,1357,555,1331,909,545,20,80,445,951,1177,14,223,714,28559,5327,727,22293,3387,411,74,2899,17440,622,16731,2707,6,35,2666,2038,0,8987,3365,115,3250,5675,475,5200,1933,1920,2166,1467,16,16,7,3,5,0.16,1942,1929,2176,1472,v1.0.3
1,1,1,0,53,6,33,4,213,42,23,1359,557,1331,909,545,20,80,445,951,1177,14,223,714,29577,5327,727,23311,3387,411,74,2899,18458,622,17749,2707,6,35,2666,2040,0,8989,3365,115,3250,5677,475,5202,1935,1922,2168,1469,16,16,7,3,5,0.15,1944,1931,2178,1474,v1.0.4
1,1,1,0,53,6,33,4,213,42,23,1359,557,1331,909,545,20,80,445,951,1177,14,223,714,29583,5327,727,23317,3387,411,74,2899,18463,622,17754,2708,6,35,2667,2041,0,8990,3365,115,3250,5678,475,5203,1936,1923,2169,1469,16,16,7,3,5,0.15,1945,1932,2179,1474,v1.0.5
1,1,1,0,53,6,33,4,213,42,23,1359,557,1331,909,545,20,80,445,951,1177,14,223,714,29584,5327,727,23318,3387,411,74,2899,18464,622,17755,2708,6,35,2667,2041,0,8991,3365,115,3250,5679,475,5204,1936,1923,2170,1469,16,16,7,3,5,0.15,1945,1932,2180,1474,v1.0.6
1,1,1,0,53,6,33,4,213,42,23,1359,559,1331,910,547,20,81,446,952,1178,14,224,714,29727,5350,727,23438,3398,412,74,2909,18562,622,17853,2720,6,35,2679,2095,0,9034,3376,115,3261,5711,475,5236,1943,1930,2181,1469,16,16,7,3,5,0.15,1953,1940,2192,1476,v1.0.9
1,1,1,0,53,6,33,4,226,43,24,1476,594,1447,993,566,20,84,462,1036,1271,15,253,768,31622,5842,743,24823,3658,455,75,3125,19645,637,18921,2830,11,36,2783,2300,0,9566,3580,116,3464,6040,481,5559,2123,2110,2383,1601,16,16,7,3,5,0.14,2132,2119,2393,1607,v1.1.10
1,1,1,0,53,6,33,4,227,43,24,1481,595,1452,997,566,20,84,462,1040,1275,15,253,772,31668,5842,743,24869,3662,455,75,3129,19686,637,18962,2831,11,36,2784,2307,0,9598,3589,116,3473,6063,481,5582,2130,2117,2390,1608,16,16,7,3,5,0.14,2137,2124,2398,1612,v1.1.12
1,1,1,0,53,6,33,4,227,43,24,1481,595,1452,995,566,20,84,462,1038,1273,15,253,770,31675,5842,743,24876,3663,455,75,3130,19692,637,18968,2831,11,36,2784,2305,0,9598,3589,116,3473,6063,481,5582,2128,2115,2388,1606,16,16,7,3,5,0.14,2137,2124,2398,1612,v1.1.13
1,1,1,0,52,6,32,4,227,43,22,1476,595,1447,945,555,20,75,460,988,1223,15,237,736,31519,5842,743,24720,3632,455,75,3099,19567,637,18843,2831,11,36,2784,2179,0,9515,3584,116,3468,5985,481,5504,2026,2013,2283,1529,16,16,7,3,5,0.14,2131,2118,2392,1607,v1.1.14
1,1,1,0,54,6,34,4,227,43,24,1478,597,1447,990,566,20,84,462,1033,1268,15,253,765,32595,5842,743,25796,3632,455,75,3099,20640,637,19916,2834,11,36,2787,2294,0,9517,3584,116,3468,5987,481,5506,2124,2111,2384,1603,16,16,7,3,5,0.14,2133,2120,2394,1609,v1.1.15
1,1,1,0,53,6,33,4,223,43,24,1460,590,1431,981,564,20,82,462,1024,1259,15,252,757,31406,5792,742,24663,3629,450,75,3101,19517,636,18794,2816,6,36,2774,2280,0,9505,3550,116,3434,6009,480,5529,2103,2090,2359,1583,16,16,7,3,5,0.14,2112,2099,2369,1589,v1.1.2
1,1,1,0,53,6,33,4,223,43,24,1460,590,1431,981,564,20,82,462,1024,1259,15,252,757,31406,5792,742,24663,3629,450,75,3101,19517,636,18794,2816,6,36,2774,2280,0,9505,3550,116,3434,6009,480,5529,2103,2090,2359,1583,16,16,7,3,5,0.14,2112,2099,2369,1589,v1.1.3
1,1,1,0,53,6,33,4,223,43,24,1460,590,1431,981,564,20,82,462,1024,1259,15,252,757,31406,5792,742,24663,3629,450,75,3101,19517,636,18794,2816,6,36,2774,2280,0,9505,3550,116,3434,6009,480,5529,2103,2090,2359,1583,16,16,7,3,5,0.14,2112,2099,2369,1589,v1.1.4
1,1,1,0,53,6,33,4,225,43,24,1471,593,1442,989,566,20,84,462,1032,1267,15,252,765,31576,5842,742,24778,3652,455,75,3119,19611,636,18888,2824,11,36,2777,2294,0,9548,3570,116,3454,6032,480,5552,2117,2104,2373,1596,16,16,7,3,5,0.14,2126,2113,2383,1602,v1.1.5
1,1,1,0,53,6,33,4,225,44,27,1471,593,1442,999,570,20,84,466,1043,1284,15,254,774,31576,5842,742,24778,3652,455,75,3119,19611,636,18888,2824,11,36,2777,2315,0,9548,3570,116,3454,6032,480,5552,2138,2125,2395,1614,16,16,7,3,5,0.14,2126,2113,2383,1602,v1.1.6
1,1,1,0,53,6,33,4,225,43,24,1473,593,1444,990,566,20,84,462,1033,1268,15,252,766,31597,5842,743,24798,3654,455,75,3121,19624,637,18900,2830,11,36,2783,2297,0,9556,3572,116,3456,6038,481,5557,2120,2107,2377,1598,16,16,7,3,5,0.14,2129,2116,2387,1604,v1.1.7
1,1,1,0,53,6,33,4,225,43,24,1473,593,1444,990,566,20,84,462,1033,1268,15,252,766,31597,5842,743,24798,3654,455,75,3121,19624,637,18900,2830,11,36,2783,2297,0,9556,3572,116,3456,6038,481,5557,2120,2107,2377,1598,16,16,7,3,5,0.14,2129,2116,2387,1604,v1.1.8
1,1,1,0,53,6,33,4,226,43,24,1475,594,1446,992,566,20,84,462,1035,1270,15,252,768,31616,5842,743,24817,3657,455,75,3124,19638,637,18914,2832,11,36,2785,2299,0,9564,3579,116,3463,6039,481,5558,2122,2109,2379,1600,16,16,7,3,5,0.14,2131,2118,2389,1606,v1.1.9
1,1,1,0,58,6,37,4,276,54,27,1906,727,1850,1200,704,21,79,604,1254,1566,25,304,925,42207,7144,1081,33775,4511,531,92,3885,27409,954,26368,3585,12,43,3530,3375,0,12026,4474,146,4328,7617,618,6999,2672,2659,2967,2030,16,16,9,3,5,0.13,2760,2747,3058,2094,v1.10.0
1,1,1,0,58,6,37,4,276,53,26,1913,727,1857,1242,711,21,88,602,1295,1601,25,319,951,42276,7144,1081,33844,4526,531,92,3900,27456,954,26415,3592,12,43,3537,3480,0,12054,4482,146,4336,7637,618,7019,2760,2747,3057,2097,16,16,9,3,5,0.13,2771,2758,3069,2105,v1.10.1
1,1,1,0,58,6,37,4,276,53,26,1914,727,1858,1242,711,21,88,602,1295,1601,25,319,951,42284,7144,1082,33851,4525,531,92,3899,27463,955,26421,3594,12,43,3539,3480,0,12056,4483,146,4337,7638,618,7020,2760,2747,3057,2097,16,16,9,3,5,0.13,2772,2759,3070,2106,v1.11.1
1,1,1,0,61,6,41,4,279,53,26,1942,736,1880,1257,715,21,88,606,1310,1616,25,319,966,45367,7169,1084,36909,4581,531,92,3955,30444,957,29400,3617,12,43,3562,3522,0,12194,4521,146,4375,7738,618,7120,2793,2780,3091,2125,16,16,9,3,5,0.12,2805,2792,3104,2134,v1.11.10
1,1,1,0,61,6,41,4,279,53,26,1945,739,1881,1258,714,21,88,605,1311,1617,25,319,967,45751,7174,1084,37288,4584,531,92,3958,30820,957,29776,3617,12,43,3562,3525,0,12197,4521,146,4375,7741,618,7123,2796,2783,3094,2128,16,16,9,3,5,0.12,2808,2795,3107,2137,v1.11.11
1,1,1,0,61,6,41,4,279,53,24,1947,739,1883,1213,704,21,79,604,1266,1572,25,303,938,45770,7174,1084,37307,4586,531,92,3960,30835,957,29791,3619,12,43,3564,3414,0,12205,4522,146,4376,7748,618,7130,2701,2688,2997,2056,16,16,9,3,5,0.12,2811,2798,3111,2139,v1.11.12
1,1,1,0,61,6,41,4,279,54,29,1947,739,1883,1268,719,21,88,610,1322,1634,25,321,976,45772,7174,1084,37309,4586,531,92,3960,30837,957,29793,3619,12,43,3564,3550,0,12207,4524,146,4378,7748,618,7130,2820,2807,3120,2148,16,16,9,3,5,0.12,2811,2798,3111,2139,v1.11.13
1,1,1,0,63,6,43,4,279,54,29,1950,742,1883,1268,720,21,88,611,1322,1634,25,321,976,47154,7173,1084,38692,4586,531,92,3960,32220,957,31176,3619,12,43,3564,3553,0,12211,4525,146,4379,7751,618,7133,2823,2810,3123,2151,16,16,9,3,5,0.11,2814,2801,3114,2142,v1.11.14
1,1,1,0,63,6,43,4,279,53,26,1949,742,1882,1257,716,21,88,607,1310,1616,25,318,967,47145,7173,1081,38686,4583,531,91,3958,32217,955,31175,3616,12,43,3561,3530,0,12212,4527,146,4381,7750,617,7133,2801,2788,3096,2132,16,16,9,3,5,0.11,2813,2800,3109,2141,v1.11.15
1,1,1,0,63,6,43,4,279,54,29,1949,742,1882,1269,720,21,88,611,1323,1635,25,320,978,47149,7173,1081,38690,4583,531,91,3958,32221,955,31179,3616,12,43,3561,3554,0,12212,4527,146,4381,7750,617,7133,2825,2812,3121,2153,16,16,9,3,5,0.11,2813,2800,3109,2141,v1.11.16
1,1,1,0,63,6,43,4,279,53,26,1950,742,1883,1258,716,21,88,607,1311,1617,25,319,967,47162,7173,1081,38703,4585,531,91,3960,32227,955,31185,3621,12,43,3566,3532,0,12216,4528,146,4382,7753,617,7136,2803,2790,3098,2133,16,16,9,3,5,0.11,2815,2802,3111,2142,v1.11.17
1,1,1,0,63,6,43,4,280,53,26,1954,743,1887,1260,716,21,88,607,1313,1619,25,319,969,47187,7173,1081,38728,4588,531,91,3963,32249,955,31207,3621,12,43,3566,3536,0,12226,4534,146,4388,7757,617,7140,2807,2794,3102,2137,16,16,9,3,5,0.11,2819,2806,3115,2146,v1.11.18
1,1,1,0,63,6,43,4,280,53,26,1954,743,1887,1260,716,21,88,607,1313,1619,25,319,969,47189,7173,1081,38730,4588,531,91,3963,32251,955,31209,3621,12,43,3566,3536,0,12226,4534,146,4388,7757,617,7140,2807,2794,3102,2137,16,16,9,3,5,0.11,2819,2806,3115,2146,v1.11.19
1,1,1,0,58,6,37,4,277,53,24,1919,728,1863,1200,700,21,79,600,1253,1559,25,303,925,42352,7144,1082,33919,4536,531,92,3910,27520,955,26478,3594,12,43,3539,3370,0,12097,4490,146,4344,7672,618,7054,2667,2654,2961,2028,16,16,9,3,5,0.13,2777,2764,3075,2111,v1.11.2
1,1,1,0,63,6,43,4,281,53,26,1959,744,1892,1263,716,21,88,607,1316,1622,26,319,971,47229,7173,1081,38770,4593,531,91,3968,32286,955,31244,3621,12,43,3566,3546,0,12243,4542,146,4396,7766,617,7149,2814,2801,3110,2143,16,16,9,3,5,0.11,2826,2813,3123,2152,v1.11.20
1,1,1,0,63,6,43,4,281,53,26,1959,744,1892,1263,716,21,88,607,1316,1622,26,319,971,47231,7175,1081,38770,4593,531,91,3968,32286,955,31244,3621,12,43,3566,3546,0,12243,4542,146,4396,7766,617,7149,2814,2801,3110,2143,16,16,9,3,5,0.11,2826,2813,3123,2152,v1.11.21
1,1,1,0,63,6,43,4,281,54,29,1955,744,1888,1269,720,21,88,611,1323,1635,25,319,979,47202,7175,1081,38741,4585,531,91,3960,32266,955,31224,3620,12,43,3565,3566,0,12231,4538,146,4392,7758,617,7141,2832,2818,3128,2157,16,16,9,3,5,0.11,2823,2809,3119,2148,v1.11.22
1,1,1,0,63,6,43,4,283,53,26,1966,746,1899,1264,716,21,88,607,1317,1623,26,317,974,47299,7175,1081,38838,4592,531,91,3967,32350,955,31308,3626,12,43,3571,3557,0,12269,4552,146,4406,7782,617,7165,2824,2810,3119,2150,16,16,9,3,5,0.11,2836,2822,3132,2159,v1.11.24
1,1,1,0,63,6,43,4,283,54,27,1966,746,1899,1229,709,21,79,609,1283,1595,26,303,954,47305,7175,1081,38844,4593,531,91,3968,32354,955,31312,3627,12,43,3572,3464,0,12272,4552,146,4406,7785,617,7168,2748,2734,3041,2094,16,16,9,3,5,0.11,2837,2823,3133,2159,v1.11.25
1,1,1,0,63,6,43,4,283,53,26,1968,748,1901,1266,716,21,88,607,1319,1625,28,317,974,47398,7183,1083,38927,4602,533,92,3974,32432,956,31389,3627,12,43,3572,3564,0,12293,4556,147,4409,7803,618,7185,2828,2813,3122,2152,16,16,9,3,5,0.11,2840,2825,3135,2161,v1.11.26
